CD_MAKE_VEH1,CD_MODEL_VEH,CD_CLR_BDY_VEH_P,TOTAL1
BONLCK,      ,WHI,3
BOOM T,      ,YLW,1
BORG  ,      ,CRM,1
BORG  ,      ,GRY,1
BORUM ,      ,YLW,1
BOSS  ,      ,WHI,1
BRANSN,      ,RED,4
BRAY  ,      ,YLW,1
BRISTL,      ,BLU,1
BRISTL,      ,GLD,1
BRISTL,      ,GRN,2
BRISTL,      ,YLW,2
BRITS ,      ,YLW,1
BRP   ,      ,BLK,3
BRP   ,      ,YLW,1
BUELL ,      ,BLK,1
BUGAT ,      ,BLK,1
BUGAT ,      ,BLU,3
BUGAT ,      ,WHI,1
BUICK ,      ,BLK,4
BUICK ,      ,BLU,11
BUICK ,      ,BRN,4
BUICK ,      ,CRM,2
BUICK ,      ,FWN,3
BUICK ,      ,GLD,3
BUICK ,      ,GRN,3
BUICK ,      ,GRY,6
BUICK ,      ,MRN,3
BUICK ,      ,RED,5
BUICK ,      ,SIL,2
BUICK ,      ,WHI,7
BUICK ,      ,YLW,5
BULTAC,      ,BLK,2
BULTAC,      ,BLU,1
BURREL,      ,GRN,2
BURREL,      ,RED,1
BUSTEC,      ,RED,8
C BILT,      ,GRN,1
C CADT,      ,YLW,1
C CLIM,      ,YLW,1
C GALN,      ,YLW,1
C MILL,      ,OGE,2
C MILL,      ,WHI,1
CAD   ,      ,BLK,5
CAD   ,      ,BLU,11
CAD   ,      ,BRN,5
CAD   ,      ,CRM,1
CAD   ,      ,GLD,3
CAD   ,      ,GRN,2
CAD   ,      ,GRY,1
CAD   ,      ,MRN,1
CAD   ,      ,RED,3
CAD   ,      ,SIL,1
CAD   ,      ,WHI,6
CAGIVA,      ,RED,1
CAGIVA,      ,SIL,1
CALTH ,      ,MRN,1
CAN AM,      ,BLK,10
CAN AM,      ,BLU,1
CAN AM,      ,GLD,2
CAN AM,      ,GRN,8
CAN AM,      ,GRY,3
CAN AM,      ,MRN,1
CAN AM,      ,RED,2
CAN AM,      ,SIL,2
CAN AM,      ,WHI,2
CAN AM,      ,YLW,16
CARRAR,      ,OGE,1
CARRAR,      ,RED,1
CASE  ,      ,BLK,7
CASE  ,      ,BRN,13
CASE  ,      ,CRM,3
CASE  ,      ,FWN,5
CASE  ,      ,GRN,2
CASE  ,      ,GRY,1
CASE  ,      ,OGE,35
CASE  ,      ,RED,237
CASE  ,      ,WHI,161
CASE  ,      ,YLW,77
CATPLR,      ,BLK,1
CATPLR,      ,WHI,3
CATPLR,      ,YLW,191
CFMOTO,      ,BLK,4
CFMOTO,      ,BLU,10
CFMOTO,      ,GRN,6
CFMOTO,      ,GRY,1
CFMOTO,      ,RED,7
CFMOTO,      ,SIL,2
CHALL ,      ,YLW,4
CHAMB ,      ,BLK,1
CHAMB ,      ,BRN,1
CHAMB ,      ,FWN,1
CHAMB ,      ,GRN,30
CHAMB ,      ,OGE,180
CHAMB ,      ,RED,3
CHAMB ,      ,YLW,564
CHAMP ,      ,OGE,1
CHAND ,      ,OGE,1
CHERY ,      ,SIL,1
CHERY ,      ,WHI,4
CHEV  ,      ,BLK,71
CHEV  ,      ,BLU,135
CHEV  ,      ,BRN,46
CHEV  ,      ,CRM,23
CHEV  ,      ,FWN,17
CHEV  ,      ,GLD,7
CHEV  ,      ,GRN,93
CHEV  ,      ,GRY,53
CHEV  ,      ,MRN,18
CHEV  ,      ,OGE,15
CHEV  ,      ,PNK,4
CHEV  ,      ,PUR,10
CHEV  ,      ,RED,131
CHEV  ,      ,SIL,30
CHEV  ,      ,WHI,110
CHEV  ,      ,YLW,35
CHRYS ,      ,BLK,45
CHRYS ,      ,BLU,97
CHRYS ,      ,BRN,49
CHRYS ,      ,CRM,7
CHRYS ,      ,FWN,36
CHRYS ,      ,GLD,15
CHRYS ,      ,GRN,81
CHRYS ,      ,GRY,28
CHRYS ,      ,MRN,9
CHRYS ,      ,OGE,19
CHRYS ,      ,PNK,3
CHRYS ,      ,PUR,2
CHRYS ,      ,RED,70
CHRYS ,      ,SIL,35
CHRYS ,      ,WHI,215
CHRYS ,      ,YLW,50
CITRN ,      ,BLK,6
CITRN ,      ,BLU,10
CITRN ,      ,BRN,1
CITRN ,      ,CRM,3
CITRN ,      ,FWN,1
CITRN ,      ,GLD,2
CITRN ,      ,GRN,5
CITRN ,      ,GRY,6
CITRN ,      ,MRN,1
CITRN ,      ,OGE,2
CITRN ,      ,PUR,1
CITRN ,      ,RED,7
CITRN ,      ,SIL,7
CITRN ,      ,WHI,29
CITRN ,      ,YLW,1
CLAAS ,      ,GRN,25
CLAAS ,      ,YLW,1
CLARK ,      ,BLU,1
CLARK ,      ,GRN,11
CLARK ,      ,RED,1
CLARK ,      ,WHI,2
CLARK ,      ,YLW,7
CLASS ,      ,GRN,1
CLIMAX,      ,YLW,2
CLUB C,      ,WHI,1
COACHM,      ,WHI,1
COLES ,      ,CRM,1
COLES ,      ,GRN,3
COLES ,      ,WHI,1
COMAIR,      ,BLU,1
COMMER,      ,BLU,2
COMMER,      ,BRN,1
COMMER,      ,GRN,10
COMMER,      ,GRY,1
COMMER,      ,RED,4
COMMER,      ,WHI,4
COMMER,      ,YLW,2
COMPAK,      ,OGE,1
CONDOR,      ,BLK,1
CONDOR,      ,RED,2
COX   ,      ,YLW,1
CRANVL,      ,YLW,2
CROSS ,      ,MRN,1
CROWN ,      ,BEI,1
CROWN ,      ,BLK,4
CROWN ,      ,BLU,2
CROWN ,      ,BRN,2
CROWN ,      ,CRM,13
CROWN ,      ,FWN,8
CROWN ,      ,GRY,2
CROWN ,      ,OGE,1
CROWN ,      ,WHI,2
CSEPEL,      ,WHI,1
CUMMIN,      ,YLW,1
CUSTOM,      ,BLK,1
CUSTOM,      ,BLU,1
CUSTOM,      ,WHI,1
CUSTOM,      ,YLW,1
D BRN ,      ,BLU,1
D BRN ,      ,BRN,8
D BRN ,      ,CRM,2
D BRN ,      ,FWN,1
D BRN ,      ,GRY,1
D BRN ,      ,OGE,11
D BRN ,      ,RED,48
D BRN ,      ,WHI,272
D BRN ,      ,YLW,2
D FAHR,      ,GRN,3
DAEDON,      ,OGE,33
DAEWOO,      ,MRN,1
DAEWOO,      ,SIL,2
DAEWOO,      ,YLW,1
DAF   ,      ,WHI,9
DAIHAT,      ,BLK,1
DAIHAT,      ,BLU,11
DAIHAT,      ,BRN,2
DAIHAT,      ,GLD,1
DAIHAT,      ,GRN,8
DAIHAT,      ,GRY,2
DAIHAT,      ,MRN,2
DAIHAT,      ,RED,25
DAIHAT,      ,SIL,7
DAIHAT,      ,WHI,88
DAIHAT,      ,YLW,24
DAIM  ,      ,BLK,7
DAIM  ,      ,BLU,6
DAIM  ,      ,BRN,7
